transaction_id,company_name,date,amount,type,description
0,Posada-Peña S.A.S.,2024-09-10,586644.59,DEBIT,Libero porro quam modi incidunt.
1,"Reyes, Álvarez and Hernández S.A.S.",2025-05-15,981599.1,DEBIT,Quo deleniti assumenda.
2,González Inc S.A.S.,2022-05-02,684113.58,CREDIT,Placeat vel enim provident cumque.
3,González Inc S.A.S.,2021-07-05,364723.7,DEBIT,Quia quos architecto reiciendis ad soluta.
4,Jaimes-Quintero S.A.S.,2020-09-20,645364.92,DEBIT,Maxime eligendi recusandae quaerat.
5,Muñoz LLC S.A.S.,2023-09-10,590029.25,DEBIT,Dolore ipsa tempore quia.
6,Vargas-Álvarez S.A.S.,2021-06-24,637411.19,CREDIT,Quis sint numquam quam enim.
7,"Gómez, Sanabria and Pulido S.A.S.",2020-11-30,788172.83,DEBIT,Consectetur cum voluptates reiciendis.
8,Reyes-Zambrano S.A.S.,2022-07-05,846486.29,DEBIT,Explicabo aliquid doloribus quos odio quos.
9,Reyes-Zambrano S.A.S.,2020-09-15,386828.83,DEBIT,Dicta quas fugit totam similique.
10,Muñoz LLC S.A.S.,2024-11-20,983435.16,CREDIT,Praesentium laudantium officiis voluptates vel aliquid.
11,Vargas-Álvarez S.A.S.,2022-05-18,682659.86,CREDIT,Aliquam accusantium ipsam architecto magni.
12,Oviedo-Domínguez S.A.S.,2023-06-18,149562.37,CREDIT,Iusto a porro eaque omnis.
13,Rodríguez-Martínez S.A.S.,2023-03-03,927698.23,DEBIT,Facere autem nisi.
14,Muñoz LLC S.A.S.,2025-03-07,66122.0,DEBIT,Enim mollitia accusamus autem maxime accusantium.
15,Rodríguez-Martínez S.A.S.,2024-05-29,847416.33,CREDIT,Quaerat quibusdam delectus autem perspiciatis.
16,Mosquera-Medina S.A.S.,2022-11-18,52361.87,DEBIT,Similique officiis repellat.
17,Muñoz LLC S.A.S.,2025-06-06,764955.27,CREDIT,Eaque nihil reprehenderit nobis architecto.
18,Rodríguez-Martínez S.A.S.,2020-08-10,46660.07,CREDIT,Quo placeat ex ex facere.
19,"Buitrago, García and García S.A.S.",2020-11-04,57426.89,CREDIT,Aliquam dolorum excepturi illum ipsum fugiat.
20,Mosquera-Medina S.A.S.,2024-02-27,792449.08,CREDIT,Aliquam aliquam necessitatibus.
21,Flórez Ltd S.A.S.,2023-07-14,761615.83,DEBIT,Quasi veniam numquam libero veritatis ex.
22,González Inc S.A.S.,2023-04-25,172354.14,DEBIT,Perspiciatis sunt hic earum neque aut.
23,Posada-Peña S.A.S.,2025-04-17,428144.07,CREDIT,Beatae reprehenderit fugit aspernatur dolor.
24,Calderón and Sons S.A.S.,2022-04-09,642484.38,CREDIT,Enim hic voluptatibus eveniet.
25,Gómez-Cardozo S.A.S.,2021-07-21,524676.94,CREDIT,Velit optio hic iste incidunt.
26,Muñoz LLC S.A.S.,2025-03-12,899152.41,DEBIT,Cupiditate cum aperiam eum voluptates ad.
27,"Pacheco, Velandia and Ávila S.A.S.",2024-02-14,757004.36,DEBIT,Nam ipsam libero iure.
28,Posada-Peña S.A.S.,2024-07-26,467897.89,CREDIT,Nam expedita hic.
29,Muñoz LLC S.A.S.,2021-07-24,319858.67,DEBIT,Id velit ducimus autem ab.
30,González Inc S.A.S.,2021-12-18,762121.99,DEBIT,Porro blanditiis placeat ratione.
31,Castro-Flórez S.A.S.,2024-11-26,71896.56,CREDIT,Ipsam quam natus delectus esse.
32,González Inc S.A.S.,2023-12-07,394972.25,DEBIT,Nostrum sapiente atque.
33,González Inc S.A.S.,2025-05-15,665367.16,CREDIT,Eveniet quia et nulla ullam aperiam.
34,Muñoz LLC S.A.S.,2025-03-19,543803.05,CREDIT,Sequi earum delectus.
35,"Reyes, Álvarez and Hernández S.A.S.",2021-10-21,567644.81,CREDIT,Nesciunt ab quaerat.
36,Reyes-Zambrano S.A.S.,2021-12-03,184832.83,CREDIT,Maiores quis minus numquam veniam.
37,González Inc S.A.S.,2021-05-12,587492.02,DEBIT,In voluptatem soluta autem iusto natus.
38,Durán-Bernal S.A.S.,2021-12-04,300098.34,DEBIT,Quasi corporis quos laborum.
39,"Reyes, Álvarez and Hernández S.A.S.",2024-08-15,878766.63,DEBIT,Mollitia corporis optio ea perferendis.
40,Portilla-Palacios S.A.S.,2023-10-05,433335.75,CREDIT,Doloribus voluptate beatae adipisci delectus.
41,Castro-Flórez S.A.S.,2024-06-27,131906.7,CREDIT,Quibusdam ipsa praesentium totam.
42,Durán-Bernal S.A.S.,2025-04-27,716924.46,CREDIT,Dicta incidunt deserunt distinctio dolore illo.
